code,title,year,genres,ratings_avg,comments
m5XM9AW,붉은 수수밭,1988,"['드라마', '전쟁']",3.6,"[{'user_code': 'g64qznWbnqER0', 'user_name': 'P1', 'user_rating': 4.0}, {'user_code': '3Bnvw0k1Z5PAY', 'user_name': '함지아', 'user_rating': 5.0}, {'user_code': '87Gv7Z6QVqE6o', 'user_name': '편파적으로 영화 보는 정지영', 'user_rating': 4.5}, {'user_code': '8nPvyYQRPPvYo', 'user_name': '김수훈', 'user_rating': 4.0}, {'user_code': 'YMKqm2bPrvloD', 'user_name': '타블리', 'user_rating': 3.0}, {'user_code': '2mwvgZAyQqMa7', 'user_name': 'ㄱ강현우', 'user_rating': 2.0}, {'user_code': 'KWRQxD6b6vdl9', 'user_name': '시나문', 'user_rating': 3.5}, {'user_code': 'jae5WMzyRq1P3', 'user_name': 'GEOGRAPHIC', 'user_rating': 4.0}, {'user_code': '6ADvGQwymxzZl', 'user_name': '옹자', 'user_rating': 4.0}, {'user_code': '8nPvy4gr4qYo0', 'user_name': '후디캣의 무비라이프', 'user_rating': 3.5}]"
mOAjKzQ,테마,1979,['드라마'],0.0,[]
mOgY0a5,쉬탐하임,1986,[],0.0,[]
m5rZjE5,우먼 앤드 더 스트레인저,1985,[],3.5,[]
m5xVErO,웨더비,1985,"['드라마', '미스터리']",3.5,"[{'user_code': 'WRQxDkw965dl9', 'user_name': '이호중', 'user_rating': 4.5}, {'user_code': 'OkexJZgB4xdbw', 'user_name': 'Dh', 'user_rating': 3.5}, {'user_code': '3BnvwlaQg5PAY', 'user_name': '하게', 'user_rating': 4.0}, {'user_code': 'RE952bLDE5Q72', 'user_name': '😘묘淑', 'user_rating': 3.0}, {'user_code': '8BRveZdmJ56VJ', 'user_name': 'Yves Klein', 'user_rating': 3.5}, {'user_code': 'RE952A1o1vQ72', 'user_name': '카이로스의 시간..', 'user_rating': 4.0}, {'user_code': '17ovV7K4R5zyn', 'user_name': '오아시스', 'user_rating': 4.5}]"
mWJ3q4O,사랑의 행로,1984,"['드라마', '코미디']",3.9,"[{'user_code': 'g64qznWbnqER0', 'user_name': 'P1', 'user_rating': 4.0}, {'user_code': 'OkexJZgB4xdbw', 'user_name': 'Dh', 'user_rating': 3.5}, {'user_code': 'D8BRveaDv6VJb', 'user_name': 'Indigo Jay', 'user_rating': 4.0}, {'user_code': 'VRZv4Jpgpxr6y', 'user_name': 'auteur cinema', 'user_rating': 5.0}, {'user_code': '3Bnvw1mdKxPAY', 'user_name': '에붕이', 'user_rating': 4.5}, {'user_code': 'OkexJLPorvdbw', 'user_name': 'outlet', 'user_rating': 4.0}, {'user_code': 'RE95229pa5Q72', 'user_name': 'moviemon94', 'user_rating': 4.0}, {'user_code': 'yKZx3MnVEv4dJ', 'user_name': 'HAL9000', 'user_rating': 3.5}, {'user_code': 'JgkqlbMKD5X0b', 'user_name': '조성호', 'user_rating': 3.5}, {'user_code': 'NP9vLMwDK56kl', 'user_name': '사춘기', 'user_rating': 4.0}]"
mWyJDYy,벌집,1982,['드라마'],0.0,[]
md6lXrA,어센던시,1983,['드라마'],0.0,[]
mWyRk6O,베로니카 포스의 갈망,1982,['드라마'],3.7,"[{'user_code': 'YMKqm2p7lvloD', 'user_name': '차지훈', 'user_rating': 4.5}, {'user_code': 'nkPvrL1ADxgar', 'user_name': 'Eun Hye Choo', 'user_rating': 4.0}, {'user_code': 'D8BRveaDv6VJb', 'user_name': 'Indigo Jay', 'user_rating': 4.0}, {'user_code': '7gdxd6e32vGYJ', 'user_name': '르네상스형뮤지션', 'user_rating': 4.0}, {'user_code': 'jae5W93GRq1P3', 'user_name': 'sendo akira', 'user_rating': 4.0}, {'user_code': '36lvXmWQZ5Xdn', 'user_name': '샌드', 'user_rating': 4.0}, {'user_code': 'Vj4PxO1wrvp0Q', 'user_name': '미상.', 'user_rating': 4.5}, {'user_code': '8BRveZdmJ56VJ', 'user_name': 'Yves Klein', 'user_rating': 4.0}, {'user_code': 'Jgkql883nqX0b', 'user_name': '서상원', 'user_rating': 4.0}, {'user_code': 'VRZv4d0EPvr6y', 'user_name': '꾸러기', 'user_rating': 4.5}]"
mO01zvd,질주,1981,"['드라마', '범죄']",3.0,"[{'user_code': 'zNM5N6jd7526j', 'user_name': 'JeongpilChae', 'user_rating': 2.5}, {'user_code': '6NW5QnEz7x1Yo', 'user_name': '우울한cut과 유쾌한song', 'user_rating': 1.5}]"
