제목,장르,총 평점,유저 평점
돌아이 2,액션,2.6,2.5
어른들은 몰라요,드라마,2.8,2.5
아메리카 아메리카,한국,2.4,2.0
매춘,성인,3.0,2.5
연산일기,시대극,3.0,2.5
아다다,시대극,3.1,3.0
감자,드라마,2.9,2.5
안녕! 유에프오,로맨틱코미디,2.7,2.5
레테의 연가,드라마,2.4,2.0
들개,한국,3.0,2.5
서울 황제,드라마,2.9,2.5
서울 무지개,드라마,2.6,2.5
변강쇠,코미디,2.6,2.5
내시,드라마,2.9,2.5
뽕,드라마,3.2,3.0
가을을 남기고 간 사랑,로맨스,1.8,1.5
오싱,드라마,3.3,3.0
백구야 훨훨 날지마라,로맨스,2.3,2.0
세 번은 짧게 세 번은 길게,로맨스,2.7,2.5
사람의 아들,드라마,3.2,3.0
수탉,드라마,2.9,2.5
나그네는 길에서도 쉬지 않는다,드라마,3.4,3.0
바보 선언,코미디,3.7,3.5
짝코,드라마,3.6,3.5
꼬방동네 사람들,드라마,3.4,3.0
최후의 증인,전쟁,3.9,3.5
피막,드라마,3.4,3.0
어스,공포,3.3,3.0
아틱,모험,3.4,3.0
강변호텔,드라마,3.4,3.0
더 길티,범죄,3.5,3.0
콜레트,드라마,3.6,3.5
우상,스릴러,2.8,2.5
돈,범죄,3.2,3.0
아사코,드라마,3.6,3.5
라스트 미션,범죄,3.5,3.5
에브리타임 룩 앳 유,드라마,3.2,3.0
그때 그들,드라마,2.8,2.5
나는 다른 언어로 꿈을 꾼다,드라마,3.6,3.5
캡틴 마블,액션,3.5,3.5
항거:유관순 이야기,드라마,3.9,3.5
국경의 왕,드라마,3.3,3.0
더 와이프,드라마,3.5,3.5
칠곡 가시나들,다큐멘터리,3.6,3.5
스파이더맨: 뉴 유니버스,애니메이션,4.0,3.5
콜드 체이싱,액션,2.9,2.5
사바하,미스터리,3.2,3.0
살인마 잭의 집,범죄,3.4,3.0
더 페이버릿: 여왕의 여자,드라마,3.9,3.5
도쿄의 밤하늘은 항상 가장 짙은 블루,드라마,3.3,3.0
콜드 워,드라마,3.9,3.5
알리타: 배틀 엔젤,액션,3.4,3.0
뺑반,범죄,2.8,2.5
에덴: 로스트 인 뮤직,드라마,3.3,3.0
에너미,드라마,3.3,3.0
세이빙 MR.뱅크스,가족,3.6,3.5
트래쉬,모험,3.7,3.5
젊음의 초상,로맨틱코미디,3.4,3.0
제이제이,코미디,2.8,2.5
뜨거운 차 한잔,로맨스,3.3,3.0
제이드,액션,2.3,2.0
의혹,드라마,3.4,3.0
애니,코미디,3.5,3.5
최후의 카운트다운,드라마,3.4,3.0
프로듀서스,음악,3.1,3.0
함정,스릴러,3.1,3.0
스캐너스,스릴러,3.3,3.0
다저스 몽키,코미디,2.9,2.5
