제목,장르,총 평점,유저 평점
리턴,드라마,3.6,3.5
천사들이 꿈꾸는 세상,드라마,3.5,3.5
엔트랩먼트,액션,3.3,3.0
핑크 플로이드의 벽,드라마,3.8,3.5
포스 오브 네이처,로맨스,2.6,2.5
포스 맨,스릴러,3.6,3.5
델타 포스,액션,2.9,2.5
패컬티,공포,3.2,3.0
암살자,드라마,2.6,2.5
간첩 리철진,드라마,2.7,2.5
케미컬 제너레이션,드라마,3.1,3.0
체이싱 아미,로맨틱코미디,3.2,3.0
사탄의 인형 2,공포,3.0,2.5
사탄의 인형 4 - 처키의 신부,공포,2.7,2.5
우나기,드라마,3.5,3.0
신장개업,공포,2.5,2.5
건축무한육면각체의 비밀,스릴러,2.4,2.0
야성녀 아이비,드라마,2.5,2.0
아이니 아이워,코미디,2.7,2.5
이재수의 난,드라마,2.5,2.0
벨리,드라마,2.8,2.5
가방 속의 여덟 머리,범죄,2.9,2.5
하얀 풍선,드라마,3.8,3.5
정크 메일,스릴러,3.4,3.0
몰 플랜더스,드라마,2.9,2.5
푸줏간 소년,코미디,3.7,3.5
인스팅트,스릴러,3.0,3.0
플레이어,드라마,3.6,3.5
슬레이어,액션,3.1,3.0
스몰 솔저,액션,3.2,3.0
록 스탁 앤 투 스모킹 배럴즈,코미디,3.9,3.5
스모킹/노스모킹,프랑스,4.0,4.0
육체의 학교,드라마,2.9,2.5
생방송 에드 TV,코미디,2.7,2.5
또또와 유령 친구들,애니메이션,3.7,3.5
꼬마 유령 캐스퍼,판타지,3.5,3.0
유령,스릴러,2.6,2.5
와일드 오키드,드라마,3.1,3.0
와일드 씽,범죄,3.1,3.0
리버 와일드,액션,3.3,3.0
와일드 카드,범죄,3.4,3.0
디아볼릭,스릴러,2.9,2.5
스페셜리스트,액션,2.7,2.5
퀵 앤 데드,서부극,2.9,2.5
원초적 본능,드라마,3.5,3.5
슬리버,스릴러,2.6,2.5
카지노,드라마,3.6,3.5
살바도르,전쟁,3.5,3.5
하늘과 땅,전쟁,3.2,3.0
도어즈,드라마,3.3,3.0
월 스트리트,드라마,3.5,3.5
올리버 스톤의 킬러,액션,3.3,3.0
JFK,역사,3.6,3.5
플래툰,드라마,3.9,3.5
로맨싱 스톤,모험,3.3,3.0
레이닝 스톤,코미디,3.8,3.5
하우등,드라마,2.9,2.5
캐리 2,판타지,2.2,2.0
허공에의 질주,범죄,4.1,4.0
폭풍의 질주,액션,3.4,3.0
질주,드라마,2.4,2.0
애널라이즈 댓,코미디,3.0,2.5
애널라이즈 디스,코미디,3.2,3.0
아이스 스톰,드라마,3.6,3.5
아이 오브 비홀더,스릴러,3.1,3.0
성월동화,로맨스,3.3,3.0
롤라 런,범죄,3.4,3.0
폴라 X,드라마,2.8,2.5
율리스 골드,드라마,3.3,3.0
슬램,드라마,3.5,3.5
자귀모,판타지,2.0,1.5
유니버셜 솔저,액션,3.0,2.5
런어웨이즈,드라마,3.0,3.0
런어웨이 브라이드,코미디,3.1,3.0
런어웨이,로맨스,2.4,2.0
형사 가제트,액션,2.7,2.5
헐리벌리,드라마,2.7,2.5
장군의 딸,액션,3.0,3.0
장군의 아들 2,액션,3.1,3.0
장군의 아들,액션,3.3,3.0
장군,드라마,3.7,3.5
엑시스텐즈,공포,3.4,3.0
한여름 밤의 꿈,로맨틱코미디,3.2,3.0
달은... 해가 꾸는 꿈,로맨스,2.1,2.0
꿈,드라마,3.2,3.0
올모스트 페이머스,드라마,3.7,3.5
엘리자베스타운,드라마,3.2,3.0
미믹,공포,3.1,3.0
미세스 브라운,로맨스,3.4,3.0
재키 브라운,범죄,3.6,3.5
토마스 크라운 어페어,로맨스,3.2,3.0
오! 꿈의 나라,드라마,3.3,3.0
네 이웃의 아내를 탐하지 마라,범죄,3.0,2.5
괴물들이 사는 나라,판타지,3.4,3.0
무소의 뿔처럼 혼자서 가라,드라마,2.8,2.5
카라밧지오,영국,3.1,3.0
페임,드라마,3.5,3.5
대지,로맨스,3.9,3.5
카라,로맨스,1.9,1.5
러브 앤 섹스,코미디,3.1,3.0
섹스 거짓말 그리고 비디오테이프,드라마,3.4,3.0
파시,서부극,2.9,2.5
겟 쇼티,스릴러,2.9,2.5
빅 대디,코미디,3.5,3.0
더 헌팅,미스터리,2.6,2.5
검은 고양이 흰 고양이,코미디,3.8,3.5
어크로스 더 유니버스,드라마,3.4,3.0
이것이 스파이널 탭이다,코미디,3.5,3.5
레드 히트,액션,3.1,3.0
엘리게이터,공포,3.0,3.0
마법의 이중주,판타지,3.0,2.5
성룡의 미라클,액션,3.3,3.0
나의 성공의 비밀,코미디,2.9,2.5
꿈꾸는 도시,미국,3.5,3.0
밀애,로맨틱코미디,3.5,3.0
장미의 전쟁,스릴러,3.4,3.0
라 밤바,음악,3.5,3.0
지옥의 7인,액션,2.9,2.5
닉 오브 타임,액션,3.3,3.0
신조협려,액션,3.1,3.0
공작왕,액션,2.8,2.5
글로리아 두케,드라마,3.2,3.0
글로리아,드라마,2.6,2.5
글로리아,드라마,3.7,3.5
중화영웅,액션,2.8,2.5
세이비어,액션,3.3,3.0
샤만카,드라마,2.9,2.5
불워스,코미디,2.8,2.5
북경 녀석들,드라마,3.1,3.0
내 책상 위의 천사,드라마,3.7,3.5
책상 서랍 속의 동화,드라마,3.7,3.5
워터보이즈,스포츠,3.4,3.0
워터보이,스포츠,3.1,3.0
나라야마 부시코,드라마,3.7,3.5
환영특공,액션,2.7,2.5
프라이머리 컬러스,드라마,3.1,3.0
유브 갓 메일,드라마,3.5,3.5
보이즈 앤 후드,드라마,3.7,3.5
큐브 2,드라마,3.2,3.0
큐브,드라마,3.7,3.5
음식남녀 2,드라마,2.8,2.5
폴리스 아카데미 4 - 시민 순찰대,코미디,3.0,3.0
폴리스 스토리 2 - 구룡의 눈,범죄,3.6,3.5
폴리스 아카데미 2 - 첫임무,코미디,3.3,3.0
뉴 폴리스 스토리,액션,3.4,3.0
폴리스 스토리 3 - 초급경찰,코미디,3.5,3.5
폴리스 아카데미,범죄,3.5,3.0
폴리스 스토리,액션,3.7,3.5
맬리스,스릴러,2.8,2.5
브로크다운 팰리스,드라마,2.9,2.5
블루 스카이,드라마,2.8,2.5
청 블루 스케치,한국,2.6,2.5
스쿠프,코미디,3.2,3.0
마이클 콜린스,드라마,3.3,3.0
007 포 유어 아이스 온리,액션,3.4,3.0
스페이스 트러커,코미디,2.8,2.5
댄스 위드 미,로맨스,2.7,2.5
라스트 댄스,드라마,2.6,2.5
자유의 댄스,로맨스,3.5,3.0
라벤더의 연인들,로맨스,3.5,3.5
댄스 댄스,로맨스,2.0,1.5
의혹의 함정,드라마,2.8,2.5
야망의 함정,미스터리,3.4,3.0
함정,범죄,3.5,3.0
러브 레터,드라마,2.8,2.5
리틀 빅 히어로,로맨스,3.6,3.5
라스트 액션 히어로,액션,3.3,3.0
댄싱 히어로,로맨스,3.6,3.5
더 히어로,액션,3.0,2.5
나의 밤은 당신의 낮보다 아름답다,드라마,2.7,2.5
당신의 다리 사이,로맨스,2.9,2.5
파리가 당신을 부를 때,로맨틱코미디,3.3,3.0
당신이 잠든 사이에,로맨틱코미디,3.7,3.5
당신에게 일어날 수 있는 일,코미디,3.4,3.0
내겐 너무 이쁜 당신,로맨틱코미디,3.2,3.0
접시꽃 당신,로맨스,2.6,2.5
시빌 액션,드라마,3.3,3.0
쇼킹 아시아,다큐멘터리,2.0,2.0
매일 매일 8시간 너를 사랑해,로맨스,2.5,2.0
먹고 기도하고 사랑하라,드라마,3.4,3.0
비는 사랑을 타고,드라마,1.8,1.5
남자가 여자를 사랑할 때,로맨스,2.7,2.5
맥스군 사랑에 빠지다,로맨틱코미디,3.6,3.5
사랑에 빠진 야생닭 클럽: 15세 이야기,독일,3.2,3.0
사랑의 로큰롤,코미디,2.3,2.0
사랑을 기다리며,드라마,2.8,2.5
사랑과 슬픔의 맨하탄,드라마,3.1,3.0
사랑과 슬픔의 여로,로맨스,3.2,3.0
사랑하기 좋은 날,로맨스,2.5,2.5
사랑하고 싶은 그녀,로맨틱코미디,3.1,3.0
사랑은 다 괜찮아,코미디,2.9,2.5
사랑의 기쁨,로맨틱코미디,2.8,2.5
사랑이 머무는 풍경,드라마,3.3,3.0
사랑이 찾아온 여름,드라마,3.3,3.0
아이 러브 트러블,로맨스,2.7,2.5
사랑의 파도,드라마,3.2,3.0
사랑의 행로,코미디,3.8,3.5
사랑할 수 밖에 없는 그대,로맨틱코미디,2.8,2.5
사랑과 추억,로맨스,3.1,3.0
사랑의 은하수,로맨스,3.4,3.0
사랑해! 진영아,드라마,2.4,2.0
사랑한다면 이들처럼,드라마,3.6,3.5
사랑의 기적,드라마,3.8,3.5
사랑이 다시 올 때,로맨틱코미디,2.8,2.5
사랑따윈 필요없어,로맨스,2.3,2.0
사랑보다 아름다운 유혹,드라마,3.3,3.0
사랑의 레시피,로맨스,3.2,3.0
사랑의 블랙홀,판타지,3.8,3.5
나무를 심은 사람,판타지,4.0,3.5
사랑할 때 이야기하는 것들,로맨스,3.2,3.0
사랑에 관한 짧은 필름,드라마,3.7,3.5
미친 사랑의 노래,로맨스,2.5,2.0
참견은 노 사랑은 오예,드라마,2.9,2.5
각시방 사랑 열렸네,드라마,2.5,2.5
엠마와 부베의 사랑,드라마,3.5,3.5
영원한 사랑,로맨스,3.2,3.0
우리 사랑 이대로,로맨스,2.6,2.5
굿바이 뉴욕 굿모닝 내 사랑 2 - 황금을 찾아라,코미디,2.8,2.5
열 아홉의 절망 끝에 부르는 하나의 사랑 노래,드라마,2.3,2.0
굿바이 뉴욕 굿모닝 내 사랑,드라마,3.1,3.0
우리 시대의 사랑,드라마,2.3,2.0
적 그리고 사랑 이야기,드라마,3.2,3.0
차타레 부인의 사랑,로맨스,2.7,2.5
내 사랑 동키호테,드라마,2.4,2.0
투명 인간의 사랑,스릴러,3.0,3.0
천년을 흐르는 사랑,로맨스,3.1,3.0
내 사랑 컬리 수,코미디,3.3,3.0
나의 사랑 나의 신부,로맨틱코미디,3.1,3.0
사랑 후에 남겨진 것들,로맨스,3.8,3.5
절대 사랑,한국,2.1,2.0
조 블랙의 사랑,판타지,3.5,3.5
내 사랑 싸가지,로맨틱코미디,2.1,2.0
7일간의 사랑,로맨스,3.1,3.0
사랑 게임,로맨틱코미디,2.9,2.5
사랑 게임,로맨틱코미디,2.7,2.5
지독한 사랑,로맨스,2.7,2.5
광란의 사랑,로맨틱코미디,3.6,3.5
우묵배미의 사랑,드라마,3.3,3.0
사랑이 지나간 자리,드라마,3.1,3.0
빌리 엘리어트 뮤지컬 라이브,코미디,4.1,4.0
라이브 와이어,액션,2.6,2.5
라이브 플래쉬,드라마,3.5,3.0
프리웨이,드라마,3.4,3.0
미스터 러버,미국,1.9,1.5
마리아스 러버,드라마,3.0,3.0
영 러버,로맨스,2.7,2.5
크리미널 러버,드라마,3.4,3.0
라버 앤 러버,범죄,2.5,2.0
13일의 금요일,공포,3.2,3.0
할로윈 7 - H20,공포,2.8,2.5
13일의 금요일 2,공포,2.9,2.5
플래시드,액션,2.7,2.5
사랑 이야기,로맨스,2.9,2.5
골든 에이지,역사,3.1,3.0
메이드 인 아메리카,코미디,2.6,2.5
에어 아메리카,액션,2.9,2.5
아메리칸 핌프,미국,2.9,2.5
아메리칸 히스토리 X,드라마,3.9,3.5
아메리칸 드래곤,액션,1.9,1.5
아메리칸 지골로,드라마,3.1,3.0
아메리칸 퀼트,드라마,3.3,3.0
아메리칸,액션,3.0,3.0
고무 인간의 최후,공포,3.2,3.0
소무,드라마,3.7,3.5
텔 미 썸딩,범죄,3.2,3.0
라스트 나잇,재난,3.5,3.5
천선지연,로맨스,3.0,2.5
웨딩 싱어,로맨스,3.4,3.0
송어,스릴러,2.9,2.5
레드 바이올린,드라마,3.5,3.0
닉슨,드라마,3.4,3.0
고스트버스터즈,액션,3.6,3.5
패시파이어,액션,3.1,3.0
딥 임팩트,재난,3.6,3.5
코 끝에 걸린 사나이,범죄,3.0,3.0
와일드 사파리,코미디,2.7,2.5
와일드 와일드 웨스트,서부극,3.1,3.0
고독한 스승,드라마,3.7,3.5
월드 오브 투모로우,액션,2.7,2.5
크로우,액션,3.3,3.0
현 위의 인생,드라마,3.7,3.5
프라하의 봄,드라마,3.5,3.5
레드 코너,범죄,3.0,3.0
페인리스,드라마,3.0,2.5
지옥의 링,스포츠,2.4,2.0
링,스릴러,2.8,2.5
링,공포,2.9,2.5
심플 플랜,범죄,3.5,3.0
더 복서,스포츠,3.5,3.5
키리시마가 동아리활동 그만둔대,드라마,3.6,3.5
퍼머넌트 노바라,판타지,3.0,2.5
암살,액션,4.0,3.5
파스카,드라마,2.7,2.5
인사이드 아웃,코미디,4.1,4.0
종이 달,드라마,3.6,3.5
터미네이터 제니시스,SF,3.4,3.0
마돈나,드라마,3.1,3.0
한밤의 아이들,드라마,3.1,3.0
연평해전,드라마,3.5,3.5
경성학교: 사라진 소녀들,드라마,2.6,2.5
극비수사,드라마,3.4,3.0
쥬라기 월드,액션,3.5,3.5
은밀한 유혹,로맨스,2.4,2.0
한여름의 판타지아,로맨스,3.6,3.5
샌 안드레아스,재난,3.1,3.0
트립 투 이탈리아,드라마,2.9,2.5
산다,드라마,3.1,3.0
무뢰한,액션,3.2,3.0
첨밀밀,로맨스,3.9,3.5
위아영,드라마,3.3,3.0
악의 연대기,액션,3.2,3.0
매드맥스: 분노의 도로,액션,4.1,4.0
매드 맥스 3,액션,3.2,3.0
매드 맥스 2: 로드 워리어,액션,3.5,3.5
매드 맥스,액션,3.4,3.0
엑시덴탈 러브,코미디,2.6,2.5
윈터 슬립,드라마,3.6,3.5
스틸 앨리스,드라마,3.7,3.5
차이나타운,범죄,3.1,3.0
어벤져스: 에이지 오브 울트론,액션,3.8,3.5
분노의 질주: 더 세븐,스릴러,3.9,3.5
생 로랑,드라마,3.0,3.0
채피,액션,3.4,3.0
리바이어던,드라마,3.7,3.5
신의 한 수,범죄,3.4,3.0
까미유 끌로델,드라마,3.3,3.0
나의 사랑 나의 신부,드라마,3.3,3.0
말레피센트,액션,3.6,3.5
퓨리,액션,3.7,3.5
원스 어폰 어 타임 인 아메리카,범죄,4.0,4.0
모스트 바이어런트,범죄,3.4,3.0
낮은 목소리 2,다큐멘터리,3.8,3.5
소셜포비아,스릴러,3.2,3.0
예스맨,드라마,3.5,3.5
랜드 앤 프리덤,전쟁,3.5,3.5
씬 레드 라인,드라마,3.6,3.5
쥬드,드라마,3.4,3.0
라스베가스를 떠나며,로맨스,3.7,3.5
미행,드라마,3.8,3.5
미인도,로맨스,2.7,2.5
스쿨 오브 락,음악,3.8,3.5
빨간 모자의 진실,애니메이션,3.0,3.0
더블 크라임,범죄,3.4,3.0
사이먼 버치,드라마,3.3,3.0
남자가 사랑할 때,로맨스,3.4,3.0
바스키아,드라마,3.6,3.5
쓰리 시즌,드라마,3.3,3.0
애나 앤드 킹,로맨스,3.2,3.0
벌이 날다,드라마,3.3,3.0
여고괴담 두번째 이야기,공포,2.9,2.5
구름 속의 산책,드라마,3.3,3.0
위험한 아이들,틴에이저,3.4,3.0
랜덤 하트,로맨스,2.6,2.5
해피 엔드,로맨스,3.3,3.0
세기말,드라마,2.5,2.0
홍등,드라마,3.7,3.5
음식남녀,드라마,3.6,3.5
엔드 오브 데이즈,액션,2.7,2.5
유 턴,범죄,3.0,3.0
슬리피 할로우,판타지,3.3,3.0
13번째 전사,액션,3.1,3.0
내 어머니의 모든 것,드라마,3.8,3.5
캅 랜드,드라마,3.1,3.0
주노명 베이커리,로맨틱코미디,2.3,2.0
성원,드라마,3.3,3.0
비상 근무,드라마,3.3,3.0
행복한 장의사,드라마,3.1,3.0
소나티네,액션,3.7,3.5
비밀과 거짓말,드라마,3.8,3.5
거짓말,드라마,2.2,2.0
본 콜렉터,범죄,3.5,3.0
풀 몬티,드라마,3.5,3.0
적과의 동침,드라마,3.4,3.0
처녀들의 저녁식사,드라마,2.8,2.5
하나비,범죄,3.7,3.5
라운더스,드라마,3.5,3.0
7월 4일생,전쟁,3.5,3.0
채플린,드라마,3.7,3.5
밴디트,로맨스,3.7,3.5
타임 투 킬,드라마,3.5,3.0
스탠 바이 미,모험,3.8,3.5
아버지의 이름으로,드라마,3.8,3.5
굿' 바이: Good & Bye,드라마,3.7,3.5
스텝맘,드라마,3.5,3.0
로렌조 오일,드라마,3.6,3.5
25살의 키스,코미디,3.3,3.0
잔 다르크,모험,3.3,3.0
삼나무에 내리는 눈,드라마,2.9,2.5
사무라이 픽션,액션,3.3,3.0
그림 속 나의 마을,판타지,3.6,3.5
쓰리 킹즈,전쟁,3.2,3.0
죽기 아니면 까무러치기,코미디,3.1,3.0
비치,모험,3.3,3.0
사이먼 세즈,액션,1.8,1.5
크래쉬,범죄,3.6,3.5
티벳에서의 7년,모험,3.6,3.5
박치기!,액션,3.3,3.0
바벨,드라마,3.5,3.0
완전한 세상,드라마,3.7,3.5
올리버 트위스트,범죄,3.6,3.5
춘향뎐,로맨스,2.8,2.5
벨벳 골드마인,음악,3.7,3.5
미스 포터,드라마,3.3,3.0
히 갓 게임,스포츠,2.8,2.5
트라이어드,드라마,3.1,3.0
영웅,홍콩,2.6,2.5
시암 선셋,모험,3.3,3.0
스터 오브 에코,공포,2.9,2.5
허리케인 카터,드라마,3.5,3.0
진실 게임,스릴러,2.4,2.0
색정남녀,코미디,2.9,2.5
낮은 목소리 3 - 숨결,다큐멘터리,3.8,3.5
낮은 목소리,다큐멘터리,3.9,3.5
인사이더,드라마,3.6,3.5
신혼여행,미스터리,1.9,1.5
소년은 울지 않는다,드라마,3.7,3.5
산책,로맨스,2.9,2.5
나인 야드 2,범죄,2.9,2.5
나인 야드,범죄,3.2,3.0
고,범죄,3.3,3.0
무언의 목격자,공포,3.6,3.5
리플리,범죄,3.8,3.5
종합병원 The Movie 천일동안,드라마,2.0,2.0
깡패 수업,액션,2.6,2.5
데드 맨 워킹,드라마,3.7,3.5
필라델피아,드라마,3.7,3.5
플란다스의 개,드라마,3.4,3.0
철도원,드라마,3.5,3.0
단테스 피크,액션,3.3,3.0
제8요일,코미디,3.8,3.5
피아노,드라마,3.7,3.5
언피쉬,오스트리아,3.2,3.0
애나벨 청 스토리,다큐멘터리,2.2,2.0
아나키스트,액션,2.7,2.5
스크림 3,공포,2.8,2.5
스크림 2,공포,2.9,2.5
스크림,공포,3.4,3.0
바스켓볼 다이어리,스포츠,3.5,3.0
로미오 머스트 다이,액션,2.8,2.5
갤럭시 퀘스트,SF,3.4,3.0
쌍생아,스릴러,3.3,3.0
섬,드라마,2.7,2.5
사랑의 슬픔 애수,로맨스,3.4,3.0
도브,로맨스,3.3,3.0
고스트 독,액션,3.2,3.0
분닥 세인트,액션,3.5,3.0
매그놀리아,드라마,3.9,3.5
헌티드 힐,공포,3.0,3.0
지금은 통화중,드라마,2.8,2.5
노마 진 앤 마릴린,드라마,2.6,2.5
걸 온 더 브릿지,로맨스,3.4,3.0
4월 이야기,로맨스,3.6,3.5
징기스칸,드라마,2.6,2.5
뱀파이어와의 인터뷰,드라마,3.8,3.5
인터뷰,로맨스,2.8,2.5
엑기,로맨스,3.1,3.0
썸머 오브 샘,공포,3.0,2.5
스티그마타,드라마,2.8,2.5
태양은 없다,드라마,3.4,3.0
신데렐라 맨,드라마,3.6,3.5
아름다운 비행,드라마,3.8,3.5
흐르는 강물처럼,드라마,3.9,3.5
토탈 이클립스,드라마,3.6,3.5
샤인,드라마,3.8,3.5
델마와 루이스,드라마,3.9,3.5
서편제,음악,3.4,3.0
아르고,드라마,3.6,3.5
뜨거운 것이 좋아,드라마,2.6,2.5
내 마음의 풍금,로맨스,3.3,3.0
패치 아담스,코미디,3.8,3.5
월플라워,드라마,3.8,3.5
"안녕, 형아",드라마,3.3,3.0
마지막 황제,시대극,3.8,3.5
늑대와 춤을,모험,3.9,3.5
칠 팩터,액션,2.4,2.0
오! 수정,코미디,3.2,3.0
아름다운 사람들,드라마,3.3,3.0
프리 윌리,드라마,3.7,3.5
어 퓨 굿 맨,드라마,3.8,3.5
중경삼림,로맨스,4.0,3.5
여인의 향기,드라마,4.1,4.0
혐오스런 마츠코의 일생,코미디,3.7,3.5
스컬스,액션,2.7,2.5
서브웨이,스릴러,3.1,3.0
그녀를 보기만 해도 알 수 있는 것,드라마,3.5,3.5
킬리만자로,액션,3.0,2.5
에이리언 2020,공포,3.1,3.0
애니 기븐 선데이,스포츠,3.6,3.5
백치들,드라마,3.8,3.5
하나의 선택,드라마,3.1,3.0
메리 라일리,드라마,2.8,2.5
존 말코비치 되기,드라마,3.8,3.5
심동,로맨스,3.2,3.0
맨?,드라마,2.4,2.0
사랑을 위하여,스포츠,3.4,3.0
사랑을 위하여,로맨스,3.4,3.0
에린 브로코비치,드라마,3.7,3.5
미션 투 마스,SF,3.3,3.0
처음 만나는 자유,드라마,3.6,3.5
젠 엑스 캅,드라마,2.3,2.0
실제상황,드라마,2.5,2.5
정,드라마,3.6,3.5
배틀필드,액션,2.1,2.0
도그마,모험,3.1,3.0
틴 컵,스포츠,3.0,3.0
컵,부탄,3.3,3.0
키핑 더 페이스,로맨틱코미디,3.0,3.0
침향,드라마,2.6,2.5
플레이 투 더 본,드라마,2.4,2.0
사이더 하우스,드라마,3.0,3.0
트루먼 쇼,드라마,4.2,4.0
의적 로빈후드,액션,3.4,3.0
더 울버린,액션,3.1,3.0
보디가드,액션,3.6,3.5
카,애니메이션,3.4,3.0
라이언 일병 구하기,전쟁,4.1,4.0
트위스터,모험,3.4,3.0
고인돌 가족 플린스톤,판타지,3.1,3.0
퍼펙트 스톰,재난,3.3,3.0
타이탄 A.E.,애니메이션,2.8,2.5
링 2,공포,2.6,2.5
링,공포,3.1,3.0
가위,공포,2.6,2.5
섹슈얼 이노센스,미국,2.6,2.5
하피,코미디,1.5,1.5
패트리어트 - 늪 속의 여우,드라마,3.7,3.5
패트리어트,액션,2.6,2.5
춤추는 무뚜,코미디,3.3,3.0
죽거나 혹은 나쁘거나,액션,3.5,3.0
다이너소어,애니메이션,3.3,3.0
비천무,로맨스,2.1,2.0
식스티 세컨즈,범죄,3.3,3.0
룰스 오브 인게이지먼트,드라마,3.3,3.0
트루 라이즈,액션,3.5,3.0
접속,로맨스,3.5,3.5
동방불패,드라마,3.8,3.5
프라이멀 피어,범죄,4.0,3.5
대부 3,범죄,4.0,4.0
노킹 온 헤븐스 도어,범죄,3.9,3.5
도망자,액션,3.8,3.5
넘버 3,코미디,3.5,3.5
약속,로맨스,3.4,3.0
가을의 전설,드라마,3.8,3.5
에이스 벤츄라,코미디,3.5,3.5
에이리언 3,SF,3.5,3.0
고질라,액션,2.9,2.5
노틀담의 꼽추,애니메이션,3.6,3.5
여고괴담,공포,3.0,2.5
시애틀의 잠 못 이루는 밤,코미디,3.7,3.5
펄프 픽션,범죄,4.0,3.5
아나콘다,액션,3.1,3.0
이장과 군수,코미디,2.8,2.5
투캅스,범죄,3.3,3.0
미술관 옆 동물원,로맨스,3.6,3.5
시월애,드라마,3.5,3.0
플러버,SF,3.4,3.0
해피 텍사스,미국,3.2,3.0
찍히면 죽는다,SF,2.0,1.5
굿바이 러버,스릴러,2.6,2.5
와호장룡,액션,3.7,3.5
마이 러브 리키,드라마,3.3,3.0
해변으로 가다,공포,1.9,1.5
엘도라도,애니메이션,3.5,3.5
미인,드라마,1.8,1.5
고지라 2000 밀레니엄,액션,2.4,2.0
박하사탕,드라마,3.7,3.5
덤 앤 더머,코미디,3.6,3.5
왓치맨,액션,3.4,3.0
비트,액션,3.5,3.5
원스 어폰 어 타임,액션,2.9,2.5
파리넬리,음악,3.7,3.5
경찰서를 털어라,액션,3.6,3.5
해피 피트,애니메이션,3.5,3.0
그린 마일,범죄,3.9,3.5
패왕별희,드라마,4.0,4.0
볼케이노,액션,3.5,3.0
새벽의 황당한 저주,공포,3.4,3.0
원 데이,드라마,3.7,3.5
콘택트,SF,4.0,3.5
우리들의 일그러진 영웅,드라마,3.5,3.5
에너미 오브 스테이트,액션,3.8,3.5
내니 맥피 - 우리 유모는 마법사,판타지,3.4,3.0
피델리티,로맨스,2.9,2.5
슬링 블레이드,드라마,3.5,3.0
스토리 오브 어스,로맨스,3.1,3.0
공포 택시,공포,1.5,1.0
키즈 리턴,범죄,3.9,3.5
뉴욕의 가을,로맨스,3.0,3.0
왓 라이즈 비니스,공포,3.2,3.0
애스트로넛,드라마,2.9,2.5
배니싱 트윈,스릴러,1.9,1.5
사탄의 인형,공포,3.2,3.0
포카혼타스,로맨스,3.6,3.5
이보다 더 좋을 순 없다,로맨스,3.9,3.5
이집트 왕자,애니메이션,3.7,3.5
미션 임파서블 2,액션,3.6,3.5
로맨틱 홀리데이,로맨스,3.7,3.5
더 록,액션,4.0,3.5
코요테 어글리,드라마,3.7,3.5
귀여운 여인,로맨틱코미디,3.8,3.5
연애의 목적,로맨틱코미디,3.2,3.0
쥬라기 공원,모험,3.9,3.5
유주얼 서스펙트,범죄,4.2,4.0
마다가스카,애니메이션,3.6,3.5
브이 포 벤데타,SF,3.9,3.5
주유소 습격사건,액션,3.3,3.0
다빈치 코드,미스터리,3.5,3.0
제5원소,액션,3.8,3.5
굿바이 마이 프랜드,드라마,4.0,3.5
배트맨,액션,3.7,3.5
콘 에어,액션,3.7,3.5
미 마이셀프 앤드 아이린,코미디,3.4,3.0
샤프트,액션,2.7,2.5
헤어스프레이,음악,3.6,3.5
홀리데이,범죄,3.3,3.0
천녀유혼,액션,3.8,3.5
레인 맨,드라마,4.0,3.5
제리 맥과이어,스포츠,3.8,3.5
팀 버튼의 크리스마스 악몽,가족,3.8,3.5
쿨 러닝,드라마,3.8,3.5
할로우 맨,액션,3.2,3.0
토탈 리콜,액션,3.7,3.5
에어 포스 원,액션,3.5,3.5
다이 하드 3,액션,3.8,3.5
두 낫 디스터브,액션,2.7,2.5
8과 1/2 우먼,드라마,3.2,3.0
인정사정 볼 것 없다,액션,3.5,3.0
다이 하드 2,액션,3.8,3.5
타잔,애니메이션,3.6,3.5
미녀와 야수,애니메이션,4.0,3.5
미세스 다웃파이어,가족,3.7,3.5
아포칼립토,액션,3.7,3.5
고사: 피의 중간고사,공포,2.2,2.0
택시 2,액션,3.3,3.0
택시,액션,3.6,3.5
바이센테니얼 맨,SF,3.8,3.5
페르시아의 왕자: 시간의 모래,액션,3.2,3.0
U-571,액션,3.6,3.5
아이즈 와이드 셧,미스터리,3.5,3.0
소용돌이,판타지,2.5,2.5
브레이브하트,드라마,4.0,3.5
용의자 X의 헌신,범죄,3.5,3.0
몬스터 대학교,애니메이션,3.8,3.5
동감,로맨스,3.6,3.5
하면 된다,코미디,2.6,2.5
싸이렌,액션,2.1,2.0
킥 애스 2: 겁 없는 녀석들,액션,3.1,3.0
킥 애스: 영웅의 탄생,액션,3.5,3.0
인크레더블 헐크,액션,3.5,3.0
다이 하드,액션,4.0,3.5
8월의 크리스마스,드라마,3.9,3.5
시네마 천국,드라마,4.3,4.0
스피드,액션,3.9,3.5
쥬라기 공원 2: 잃어버린 세계,공포,3.6,3.5
인디펜던스 데이,SF,3.6,3.5
쉰들러 리스트,드라마,4.2,4.0
나 홀로 집에 3,코미디,3.3,3.0
마파도,코미디,2.8,2.5
알라딘,애니메이션,3.9,3.5
로망스,로맨스,2.4,2.0
로망스,드라마,2.9,2.5
로드 트립,코미디,3.0,3.0
"달콤, 살벌한 연인",로맨틱코미디,3.1,3.0
오만과 편견,로맨스,3.9,3.5
맨발의 기봉이,드라마,3.2,3.0
인어 공주,애니메이션,4.0,4.0
행복을 찾아서,드라마,3.8,3.5
더 셀,공포,3.4,3.0
왓쳐,범죄,2.5,2.0
열정의 제국,드라마,2.6,2.5
뮤직 오브 하트,드라마,3.4,3.0
물고기자리,드라마,2.7,2.5
