code,title,year,genres,ratings_avg
m6dRKb5,아이덴티티,2003,"['공포', '스릴러']",4.0
mWLDaer,아녜스가 말하는 바르다,2019,['다큐멘터리'],4.0
mZ5eLdA,무간도,2002,"['액션', '범죄', '드라마', '미스터리', '스릴러']",4.1
mY5QaG5,미션 임파서블,1996,"['액션', '모험', '스릴러']",4.0
my5YwlO,나비 효과,2004,"['SF', '스릴러']",4.0
m5NMpXd,오페라의 유령 : 25주년 특별 공연,2011,"['드라마', '음악', '로맨스', '스릴러']",4.0
m5rQ8bd,극장판 짱구는 못말려 9기: 어른 제국의 역습,2001,"['애니메이션', '코미디', '가족']",4.1
mWJyZyx,생산적 활동,2008,"['다큐멘터리', '애니메이션']",4.0
mOo0P9a,우리들,2015,['드라마'],4.0
mO2MrKQ,더 픽사 스토리,2007,['다큐멘터리'],4.0
moW4PXW,레퀴엠,2000,['드라마'],4.0
m5NVjDa,덩케르크,2017,"['역사', '액션', '드라마', '스릴러', '전쟁']",4.0
m5aVMGQ,1987,2017,['드라마'],4.0
mBOkbkW,러브 액츄얼리,2003,"['코미디', '드라마', '로맨스', '로맨틱코미디', '가족']",4.0
mJ5xvEO,말할 수 없는 비밀,2007,"['로맨스', '판타지', '드라마']",4.0
m5aVBxN,스노우맨,1982,"['판타지', '애니메이션', '가족']",4.0
mMO2La5,빌리 엘리어트,2000,"['드라마', '음악', '코미디', '가족']",4.1
m5Y66lv,스튜어트: 어 라이프 백워즈,2007,['드라마'],4.0
mOgZVAW,리틀 네모,1989,"['판타지', '애니메이션', '드라마', '가족']",4.0
mdjwqo5,천원돌파 그렌라간 극장판 - 나암편,2009,"['모험', '액션', '애니메이션']",4.1
mJOVYNW,이웃집 토토로,1988,"['판타지', '애니메이션', '가족']",4.0
mdjanY9,위플래쉬 (단편),2013,"['드라마', '단편']",4.0
mr5ZXlO,아마데우스,1984,"['음악', '드라마']",4.0
moW43q5,스타워즈 에피소드 5: 제국의 역습,1980,"['SF', '모험', '판타지', '액션']",4.0
mOoX4Md,모드의 집에서 하룻밤,1969,['드라마'],4.0
mXOgMN5,바람과 함께 사라지다,1939,"['전쟁', '로맨스', '시대극', '드라마', '코미디', '역사']",4.0
m45nPDO,이프 온리,2004,"['코미디', '드라마', '판타지', '로맨스']",4.0
mO0gZyv,나무를 심은 사람,1987,"['판타지', '애니메이션', '가족']",4.0
m5DGw0d,원피스 극장판 9기 - 에피소드 오브 쵸파,2008,"['애니메이션', '액션', '코미디', '드라마', '판타지']",4.0
mgdMewd,지상의 밤,1991,"['코미디', '드라마']",4.0
mW4Lxjl,다시 태어나도 우리,2016,['다큐멘터리'],4.0
mW9xB85,가디언즈 오브 갤럭시,2014,"['코미디', 'SF', '액션', '모험']",4.0
mr5ZGLW,아이 엠 샘,2001,['드라마'],4.0
mdEw3GE,동급생,2016,"['드라마', '애니메이션']",4.1
mBOkx8d,로제타,1999,['드라마'],4.0
mdBaePO,동경 이야기,1953,['드라마'],4.0
mXOgzYW,레이더스,1981,"['모험', '액션']",4.0
mdjDGlW,거울,1975,['드라마'],4.0
mWLjx6d,빽 투 더 퓨쳐,1985,"['모험', '코미디', 'SF']",4.0
my5Yqj5,원스 어폰 어 타임 인 아메리카,1984,"['범죄', '드라마']",4.0
mW4L9wL,바르다가 사랑한 얼굴들,2017,['다큐멘터리'],4.0
mgdMYXd,굿바이 마이 프랜드,1995,['드라마'],4.0
mJ5xGBd,헤드윅,2001,"['음악', '드라마', '코미디']",4.0
mqW9vMO,허공에의 질주,1988,"['범죄', '드라마', '음악', '로맨스']",4.1
m533xZ3,몸 값,2015,"['단편', '드라마']",3.9
mJOVBZO,노트북,2004,"['로맨스', '드라마']",4.0
mWv1lb5,범죄와의 전쟁 : 나쁜놈들 전성시대,2012,"['액션', '범죄', '드라마']",4.0
mjO0mLd,영웅본색,1986,"['액션', '범죄', '드라마', '스릴러']",3.9
mWJyDKM,보헤미안 랩소디,2018,['드라마'],3.9
mpWpEvO,몬스터 주식회사,2001,"['애니메이션', '모험', '코미디', '가족', '판타지', '키즈']",4.0
m5NeARd,우리의 환대,1923,"['드라마', '코미디']",4.0
mgOA2Vd,대부 3,1990,"['범죄', '드라마']",4.0
mdR4eyv,윤희에게,2019,['로맨스'],4.1
m6dRQVO,에너미 앳 더 게이트,2001,"['전쟁', '액션', '드라마', '스릴러']",4.0
m45nBk5,위대한 독재자,1940,['코미디'],4.0
mJOV4g5,시티 오브 갓,2002,"['범죄', '드라마', '스릴러']",4.0
mWyRKKO,빠삐용,1973,"['범죄', '드라마']",4.0
mW4LNQP,콜 미 바이 유어 네임,2017,"['드라마', '로맨스']",4.0
m5rQwwE,허스토리,2017,['드라마'],4.0
mOk6Zmz,프레쉬 과카몰리,2012,['애니메이션'],4.0
mJOVGBd,셜록 2세,1924,"['코미디', '가족']",4.1
mqW9A4W,레인 맨,1988,['드라마'],4.0
mOAxgjW,헬프,2011,['드라마'],4.0
m5Zlvzx,브링 더 소울 : 더 무비,2019,[],3.9
mZ5ewKO,더 록,1996,"['액션', '스릴러', '모험']",4.0
mWywgyd,천원돌파 그렌라간 극장판 - 홍련편,2008,['애니메이션'],4.0
mJO1awO,패왕별희,1993,"['드라마', '음악', '로맨스']",4.0
my5YK3O,화양연화,2000,"['로맨스', '드라마']",4.0
m5rQw27,팬텀 스레드,2017,"['로맨스', '드라마']",4.0
mOAZ7Qa,슈퍼소닉,2016,"['다큐멘터리', '음악']",3.9
m5Q3a8O,잠입자,1979,"['SF', '드라마']",4.0
mdKBXVO,플립,2010,"['틴에이저', '로맨스', '드라마']",4.0
mOgDvAd,씨민과 나데르의 별거,2011,"['드라마', '스릴러']",4.0
mO2lEQ5,캐롤,2015,"['드라마', '로맨스']",4.0
mWLjnLp,구름 조금,2009,"['판타지', '애니메이션', '코미디', '가족']",4.0
m5XlpB5,걸어도 걸어도,2008,"['가족', '드라마']",4.0
