title,content_type,ratings_avg,movie_code
고령가 소년 살인사건,movies,4.1,mOAr8ad
아이언맨,movies,4.2,m5XMeBW
할복,movies,4.2,md7nK2O
라라랜드,movies,4.1,m5GXz42
다크 나이트 라이즈,movies,4.1,mW4rmed
반지의 제왕 : 왕의 귀환,movies,4.2,m45ngDW
쉰들러 리스트,movies,4.2,moW4XlW
피아니스트,movies,4.1,mBOkGJO
파이트 클럽,movies,4.1,myWqxp5
본 얼티메이텀,movies,4.1,mZ5e6oW
주토피아,movies,4.2,mOgBxPa
변호인,movies,4.1,mWLar6O
하이큐!! 끝과 시작,movies,4.2,mOo0AbL
세 얼간이,movies,4.1,mOk6rwW
하나 그리고 둘,movies,4.1,m85XM3W
추격자,movies,4.1,mAd7k2d
그린 북,movies,4.2,mWyJ9BK
글래디에이터,movies,4.1,mJO16Vd
본 슈프리머시,movies,4.1,mQO8g3W
살인의 추억,movies,4.1,mE5DYeW
집시의 시간,movies,4.1,mYdEygd
우먼 인 할리우드,movies,4.1,mWw3Bb4
아이언맨 3,movies,4.1,mdKmrJW
이터널 선샤인,movies,4.1,m85X9LW
주전장,movies,4.1,mdja7JJ
페이퍼맨,movies,4.1,m5XML4L
스파이더맨: 뉴 유니버스,movies,4.0,md76rkk
"나, 다니엘 블레이크",movies,4.1,mOPomg7
식스 센스,movies,4.1,m533ew5
라이언 일병 구하기,movies,4.1,mYdE4GO
타짜,movies,4.1,m6dRLWy
본 아이덴티티,movies,4.1,mXOgK0O
로마,movies,4.1,m5aVG6j
억압받는 다수,movies,4.0,mdjaL2q
어벤져스,movies,4.2,mOVgp1d
킹스맨 : 시크릿 에이전트,movies,4.1,mO0gZ8X
프로메제,movies,4.1,mNdKmRW
방파제,movies,4.1,mOAZZvQ
여인의 향기,movies,4.1,m1WwBl5
어른이 되면,movies,4.0,mOk6LPg
반지의 제왕 : 두 개의 탑,movies,4.1,mY5QVRW
만춘,movies,4.0,mdEK3gW
올드보이,movies,4.1,mY5QnJW
안녕하세요,movies,4.1,mO1MGQO
시간을 달리는 소녀,movies,4.1,mNdK17W
라이온 킹,movies,4.1,m5nQ4Dd
토이 스토리 3,movies,4.1,md6k3q5
사형수 탈출하다,movies,4.1,mOoMKP5
인사이드 아웃,movies,4.1,mdEwAR2
타인의 삶,movies,4.0,m2dj3a5
업,movies,4.1,mOgBGMW
줄무늬 파자마를 입은 소년,movies,4.1,mE5DMQW
노스탤지아,movies,4.0,mmObXa5
스포트라이트,movies,4.0,m5xJZE3
란,movies,4.1,m53ErjO
어벤져스: 인피니티 워,movies,4.1,m5DGQDQ
선라이즈,movies,4.1,mO2MoxW
데어 윌 비 블러드,movies,4.1,m5nQ7nd
반지의 제왕 : 반지 원정대,movies,4.1,mP5mPzd
뻐꾸기 둥지 위로 날아간 새,movies,4.1,mDWvped
피아니스트의 전설,movies,4.0,mV533q5
러브 유어셀프 인 서울,movies,4.0,mObBeDz
토이 스토리,movies,4.1,mJ5xpq5
루스 베이더 긴즈버그: 나는 반대한다,movies,4.2,mOl4lMe
비긴 어게인,movies,4.1,mOPpNlO
포드 V 페라리,movies,4.0,m5YKZzw
바비를 위한 기도,movies,4.0,m5mZb3W
당갈,movies,4.0,mOgBMZM
스타 워즈 - 스페셜 에디션,movies,4.1,md7aAkW
아들,movies,4.1,m5aKnlO
메멘토,movies,4.1,mMO2JAO
사운드 오브 뮤직,movies,4.1,mVWzgZO
언록킹 셜록,movies,4.1,m5aVYXQ
세븐,movies,4.1,mM5rwDW
터미네이터 2,movies,4.1,m6dRVyd
카메라맨,movies,4.1,mO2ebkW
퀸 락 몬트리올,movies,4.1,md7MP8W
미스 슬로운,movies,4.1,md76JgM
플레이타임,movies,4.0,mW93wld
해리포터와 마법사의 돌,movies,4.1,mmOb3kd
테이큰,movies,4.0,mOAZxQd
로건,movies,4.0,mO1VPPV
히든 피겨스,movies,4.0,mWqJboK
조조 래빗,movies,4.0,mOlwgjg
비포 선라이즈,movies,4.1,mgdMNw5
빌리 엘리어트 뮤지컬 라이브,movies,4.1,mOgBrY9
코코,movies,4.0,mWvkXvZ
서유기 2 - 선리기연,movies,4.1,mM5rBJ5
언터처블: 1%의 우정,movies,4.0,mOgDkMd
