제목,장르,총 평점
안경,드라마,3.7
"달 밝은 밤에, 타티니",드라마,2.8
어벤져스: 엔드게임,액션,4.2
이스케이프 룸,액션,3.0
퍼펙트 데이트,코미디,2.5
삼생삼세 십리도화,로맨스,2.6
철벽선생,로맨스,3.3
LOL,로맨틱코미디,3.1
후드,액션,2.7
더 페이버릿: 여왕의 여자,드라마,3.9
라스트 송,드라마,3.5
그녀는 거짓말을 너무 사랑해,로맨스,3.4
메리 포핀스 리턴즈,코미디,3.2
가버나움,드라마,4.3
해피 데스데이 2 유,공포,2.9
LA 컨피덴셜,범죄,3.7
캡틴 마블,액션,3.5
어쩌다 결혼,코미디,2.5
세컨드 액트,로맨스,2.5
먹고 기도하고 사랑하라,드라마,3.4
어쩌다 로맨스,코미디,3.0
증인,드라마,3.6
화씨 11/9: 트럼프의 시대,다큐멘터리,3.7
어느 가족,범죄,4.1
돈 많은 친구들,로맨틱코미디,2.8
미래의 미라이,애니메이션,3.1
극한직업,코미디,3.9
블랙미러: 밴더스내치,드라마,3.5
오버 더 레인보우,드라마,3.0
완벽한 타인,코미디,3.7
플랜 B,로맨틱코미디,3.1
호두까기 인형과 4개의 왕국,판타지,2.7
아쿠아맨,액션,3.3
푸른하늘 옐,드라마,3.1
범블비,액션,3.2
가질 수 있다면,스릴러,1.9
주먹왕 랄프 2: 인터넷 속으로,애니메이션,3.6
베일리 어게인,모험,4.0
벽 속에 숨은 마법시계,코미디,2.7
나우 이즈 굿,드라마,3.6
오피스 크리스마스 파티,코미디,2.7
화성 침공,코미디,3.3
언더 워터,드라마,3.3
백엔의 사랑,드라마,3.6
메소드,드라마,2.7
불한당: 나쁜 놈들의 세상,범죄,3.6
부탁 하나만 들어줘,범죄,3.5
비 썸바디,드라마,2.5
국가부도의 날,드라마,3.5
로마,드라마,4.1
휘트니,음악,3.5
스파이더맨: 뉴 유니버스,애니메이션,4.0
서던 리치: 소멸의 땅,판타지,3.3
카메라를 멈추면 안 돼!,코미디,3.8
도어락,스릴러,2.9
베놈,액션,3.3
쟈니 잉글리쉬 3: 스트라이크 어게인,액션,2.6
블리치,액션,2.1
크리스마스 웨딩 플래너,로맨스,1.7
버드 박스,드라마,3.6
13층,미스터리,3.7
신비한 동물들과 그린델왈드의 범죄,가족,3.1
로열 크리스마스 - 세기의 결혼,로맨스,2.2
선배와 그녀,로맨스,2.6
메리 키스마스,로맨스,1.9
빌리 진 킹: 세기의 대결,코미디,3.6
크리스마스의 여왕,드라마,2.0
미스틱 리버,범죄,3.7
크리스마스 연대기,가족,3.2
크리스마스 인 스노우,드라마,2.5
매직 캘린더: 크리스마스를 부탁해,로맨스,2.7
더 스피릿 오브 크리스마스,스릴러,2.4
크리스마스 스위치,로맨틱코미디,2.8
보헤미안 랩소디,드라마,3.9
캠 걸스,스릴러,2.5
레이버 데이,드라마,3.8
곰돌이 푸 다시 만나 행복해,애니메이션,3.5
루시,액션,3.0
올드보이,액션,3.6
안시성,시대극,3.1
언록킹 셜록,다큐멘터리,4.1
페미니스트: 닫힌 문을 열고,다큐멘터리,3.9
"오늘 밤, 로맨스 극장에서",판타지,3.5
밤쉘,전쟁,3.8
펭귄 하이웨이,애니메이션,3.1
나를 차버린 스파이,코미디,3.7
스타 이즈 본,로맨스,3.6
레이디 가가 155cm의 도발,다큐멘터리,3.5
겨울왕국의 무민,애니메이션,3.3
목격자,스릴러,2.7
하워드 덕,액션,2.8
마돈나 : 라이크 어 버진,음악,2.6
일대종사,액션,3.3
팔려가는 소녀들: 추악한 진실,다큐멘터리,3.6
"Ashley Madison: Sex, Lies and Cyber Attacks",다큐멘터리,2.8
수도승과 물고기,애니메이션,3.3
청소부 톰,애니메이션,2.7
아버지와 딸,애니메이션,3.8
미스터 레스모어의 환상적인 책 여행,애니메이션,3.7
미션 임파서블: 폴아웃,액션,3.7
킬링 디어,드라마,3.8
아주르와 아스마르,애니메이션,3.9
"레이철, 하얀 흑인",다큐멘터리,3.4
더 기프트,드라마,3.2
시에라 연애 대작전,로맨틱코미디,2.2
맨 인 더 다크,범죄,3.4
업그레이드,액션,3.6
환상의 커플,코미디,3.5
하비 걸,미국,3.6
서치,드라마,3.8
프라이즈 위너,드라마,3.5
"오늘 밤, 엄마를 찾지마 ",코미디,2.6
여중생A,드라마,2.7
프리모니션,드라마,2.9
포르노의 막이 내린 후에 2,다큐멘터리,2.6
더 패키지,코미디,2.5
루저의 역습,코미디,2.5
스텝 시스터스,드라마,2.9
핫 걸 원티드,다큐멘터리,3.3
트윈스터즈,다큐멘터리,3.7
스피드 2,액션,2.6
벤지,모험,3.6
언프렌드,스릴러,2.1
오렌지,로맨스,3.6
킹 코브라,드라마,2.2
로열 크리스마스,로맨스,2.4
"에브리씽, 에브리씽",로맨스,3.2
퀸카가 아니어도 좋아,코미디,3.5
장난스런 키스 더 무비 1 : 하이스쿨 편,로맨스,3.4
이상한 나라의 앨릭스,코미디,2.3
내가 사랑했던 모든 남자들에게,로맨스,3.6
#리얼리티하이,코미디,2.8
오빠에게 너무 사랑받아서 곤란해요,로맨스,2.4
스카이스크래퍼,액션,2.8
레이디스 나잇,코미디,3.7
나인 야드,범죄,3.2
미드나잇 선,드라마,3.8
맘마미아!2,로맨틱코미디,3.6
테라포마스,SF,2.0
포르노의 막이 내린 후에,다큐멘터리,2.6
미성년이지만 어린애는 아냐,코미디,3.4
마블 원-샷: 올 헤일 더 킹,액션,3.4
퍼펙트 블루,미스터리,3.8
인크레더블 2,애니메이션,3.8
바오,애니메이션,2.7
앤트맨과 와스프,SF,3.6
어둠 속의 댄서,범죄,3.8
인 어 하트비트,애니메이션,3.5
한나 개즈비: 나의 이야기,코미디,4.4
섹스토피아,다큐멘터리,3.6
아이 필 프리티,코미디,3.6
동물원 인터뷰,애니메이션,3.7
얼리맨,판타지,3.1
행복을 찾아서,드라마,3.8
하늘을 걷는 남자,모험,3.5
패시파이어,액션,3.1
비포 앤 애프터,스릴러,3.1
거꾸로 가는 남자,코미디,3.9
램페이지,액션,3.0
쥬라기 월드: 폴른 킹덤,SF,3.2
키싱 부스,로맨스,2.7
트루스 오어 데어,공포,2.7
"스탠바이, 웬디",코미디,3.6
앨리 웡 : 성性역은 없다,코미디,3.8
앨리 웡: 베이비 코브라,예능,3.6
배드 맘스 크리스마스,드라마,3.2
배드 맘스,코미디,3.4
에이스 벤츄라,코미디,3.5
돌아온 벤지,키즈,3.3
상사에 대처하는 로맨틱한 자세,로맨스,3.1
캔디 상자,드라마,2.8
앱,SF,1.9
악마의 씨,공포,3.8
위플래쉬 (단편),드라마,4.0
오션스8,범죄,3.5
유전,드라마,3.5
그린 랜턴: 반지의 선택,액션,2.3
40살까지 못해본 남자,로맨스,3.1
최고의 감독,드라마,3.3
여배우,드라마,3.4
에반 올마이티,코미디,3.3
변태 가면,액션,2.5
크로스로드,애니메이션,3.2
데드풀 2,액션,3.7
콜 미 바이 유어 네임,드라마,4.0
마이애미 바이스,액션,3.1
아틀란티스: 잃어버린 제국,애니메이션,3.4
필스,코미디,3.4
존 카터: 바숨 전쟁의 서막,액션,3.0
독수리 오형제,액션,1.9
데블스 에드버킷,드라마,3.6
내 이야기!!,코미디,3.5
스폭에 대한 사랑으로,다큐멘터리,3.4
스타 트렉 4 - 귀환의 항로,SF,3.6
머나먼 여정,코미디,3.8
찬스,드라마,3.7
헐리웃 스토리,드라마,3.1
에이트,영국,3.1
괴물,판타지,3.0
어두워질 때까지,스릴러,3.5
콰이어트 플레이스,공포,3.4
라스트 모히칸,액션,3.7
여배우는 오늘도,코미디,3.5
브로큰 데이트,액션,3.1
스윙 타임,로맨틱코미디,3.0
배드 지니어스,범죄,3.7
엘리시움,SF,3.2
흑기사 중세로 가다,액션,3.1
왓치맨,액션,3.4
홉 스프링스,로맨틱코미디,2.8
아이언 자이언트,애니메이션,3.9
워크 오브 셰임,코미디,2.8
트롤 홀리데이,애니메이션,3.1
한낮의 유성,로맨스,3.6
더 10 이어 플랜,로맨스,2.8
이너프 세드,코미디,3.6
레이디 버드,코미디,3.9
다빈치 코드,미스터리,3.5
닥터 모로의 DNA,판타지,2.5
헬보이,액션,3.3
몬스터 호텔,애니메이션,3.6
폴리스 스토리 3 - 초급경찰,코미디,3.5
할로우 맨,액션,3.2
레디 플레이어 원,액션,3.7
폴리스 스토리 2 - 구룡의 눈,범죄,3.6
우주 전사 버즈,애니메이션,3.2
쓰리 빌보드,범죄,4.0
플로리다 프로젝트,드라마,4.0
스위니 토드: 어느 잔혹한 이발사 이야기,공포,3.3
툼스톤,액션,3.1
당갈,드라마,4.0
퍼시픽 림: 업라이징,액션,2.8
스타워즈: 라스트 제다이,액션,3.3
폴리스 스토리,액션,3.7
틴 비치 무비,가족,3.2
더 리더: 책 읽어주는 남자,로맨스,3.7
커뮤터,액션,3.1
신과함께-죄와 벌,판타지,3.7
지금 만나러 갑니다,로맨스,3.8
일주일간 친구,로맨스,3.7
어벤져스: 인피니티 워,액션,4.1
패터슨,드라마,3.9
50가지 그림자: 해방,스릴러,2.7
선생님!... 좋아해도 될까요?,로맨스,3.3
퍼시픽 림,SF,3.2
러빙 빈센트,애니메이션,3.9
피치 퍼펙트 3,음악,3.1
리틀 포레스트,드라마,3.9
피의 연대기,다큐멘터리,3.9
영웅: 천하의 시작,액션,3.5
