title,director,content_type,genres,nation,year,ratings_avg,movie_code
플로렌티나 후발도,['라브 디아즈'],movies,['드라마'],필리핀,2012,4.2,mdKq6zW
엘류테리아의 꿈,['렘튼 시에가 수아솔라'],movies,['드라마'],필리핀,2010,3.6,mO2oEnd
험한 교육,['조승연'],movies,"['드라마', '스릴러', '가족']",한국,2011,3.0,mdBzrPG
고백,['유지영'],movies,['드라마'],한국,2011,3.1,m5DGK2y
장 쟝티,"['로라 아멜리아 구즈만', '이스라엘 카르데나스']",movies,['드라마'],멕시코,2010,2.8,m5QpaQd
미국의 바람과 불,['김경만'],movies,['다큐멘터리'],한국,2011,3.2,m5em7R5
트루맛쇼,['김재환'],movies,['다큐멘터리'],한국,2011,3.4,m5mxezd
"다시 태어나고 싶어요, 안양에",['박찬경'],movies,['다큐멘터리'],한국,2010,3.1,mdE0bpO
뽕똘,['오멸'],movies,['코미디'],한국,2009,3.2,m5a9BG5
보라,['이강현'],movies,['다큐멘터리'],한국,2010,2.9,mOoeYa5
더블 클러치,[],movies,['드라마'],한국,2011,3.2,md76PjB
독신남,['지 하우'],movies,['코미디'],중국,2010,3.8,mWLlp6W
고추잠자리,['지에카이 리아오'],movies,[],싱가포르,2010,1.5,mO8MNbd
수사,['루수단 피르벨리'],movies,['드라마'],null,2010,3.1,m5mkwDO
저 달이 차기 전에,['서세진'],movies,['다큐멘터리'],한국,2009,3.8,m2djYzO
레인보우,['신수원'],movies,['드라마'],한국,2010,3.1,m5D0G15
이파네마 소년,['김기훈'],movies,['로맨스'],일본,2010,2.5,m5avNDW
얼어붙은 땅,['김태용'],movies,['드라마'],한국,2010,3.1,mWwBG1q
크래쉬,['페페 디옥노'],movies,['드라마'],필리핀,2009,3.4,mO2Lx05
하수구,['쉐라드 안소니 산체즈'],movies,[],필리핀,2008,3.1,md7NbeO
P짱은 내 친구,['마에다 테츠'],movies,"['드라마', '코미디']",일본,2008,3.2,mn5N9nd
사람을 찾습니다,['이서'],movies,[],한국,2008,2.8,m5eZxKW
로니를 찾아서,['심상국'],movies,['드라마'],한국,2009,2.8,m45nand
소규모 아카시아 밴드 이야기,['민환기'],movies,"['다큐멘터리', '음악']",한국,2009,2.6,mW9zDeO
반두비,['신동일'],movies,['드라마'],한국,2009,2.9,mAd7RPO
