user_code,title,movie_code,content_type,genres,year
nkPvrb8wrvgar,몬스터,m9dBxqW,movies,"['범죄', '드라마', '스릴러']",2003
nkPvrb8wrvgar,아메리칸 허슬,mOgbXaW,movies,"['범죄', '드라마']",2013
nkPvrb8wrvgar,아모레스 페로스,mVWzZBW,movies,"['드라마', '스릴러']",2000
nkPvrb8wrvgar,어 퍼펙트 데이,mWyJGj6,movies,['드라마'],2016
nkPvrb8wrvgar,화니와 알렉산더,m5Dwwed,movies,"['판타지', '드라마', '스릴러']",1982
nkPvrb8wrvgar,돌이킬 수 없는,m5DGZ6d,movies,"['범죄', '드라마', '미스터리', '스릴러']",2002
nkPvrb8wrvgar,카페 뤼미에르,mjO0Rv5,movies,['드라마'],2003
nkPvrb8wrvgar,종이 달,mOAZgBj,movies,['드라마'],2014
nkPvrb8wrvgar,탐엣더팜,mWyJxKx,movies,"['드라마', '미스터리', '스릴러']",2013
nkPvrb8wrvgar,피아니스트,m45n7XW,movies,['드라마'],2001
nkPvrb8wrvgar,아들,m5aKnlO,movies,"['가족', '드라마']",2002
nkPvrb8wrvgar,레이디 맥베스,mOVvQL8,movies,"['로맨스', '드라마']",2016
nkPvrb8wrvgar,벨벳 골드마인,m9dBMPO,movies,"['음악', '드라마']",1998
nkPvrb8wrvgar,소나티네,mOo0Dad,movies,"['액션', '코미디', '범죄', '로맨스', '드라마', '스릴러']",1993
nkPvrb8wrvgar,귀향,mOk6R8W,movies,"['코미디', '드라마', '판타지']",2006
nkPvrb8wrvgar,그녀에게,mdRLaKW,movies,"['드라마', '미스터리', '로맨스']",2002
nkPvrb8wrvgar,윈터 슬립,mOo0Gxk,movies,['드라마'],2014
nkPvrb8wrvgar,영원과 하루,mgOAmlO,movies,['드라마'],1998
nkPvrb8wrvgar,희생,m5roj3W,movies,['드라마'],1986
nkPvrb8wrvgar,사이비,mdjRAad,movies,"['애니메이션', '스릴러']",2013
nkPvrb8wrvgar,돼지의 왕,m5xGyad,movies,"['애니메이션', '드라마', '스릴러']",2011
nkPvrb8wrvgar,마지막 황제,mOkN7QW,movies,"['시대극', '드라마']",1987
nkPvrb8wrvgar,바그다드 카페,m1WwZ75,movies,"['드라마', '코미디']",1987
nkPvrb8wrvgar,와이키키 브라더스,mwWLw05,movies,"['드라마', '음악']",2001
nkPvrb8wrvgar,플립,mdKBXVO,movies,"['틴에이저', '로맨스', '드라마']",2010
nkPvrb8wrvgar,옥희의 영화,m1d68aW,movies,"['코미디', '드라마', '로맨스']",2010
nkPvrb8wrvgar,태풍이 지나가고,mO2Mo6N,movies,"['코미디', '드라마']",2016
nkPvrb8wrvgar,8과 1/2,mOljbA5,movies,['드라마'],1963
nkPvrb8wrvgar,아이 엠 러브,mWqx9D5,movies,"['가족', '드라마', '로맨스']",2009
nkPvrb8wrvgar,환상의 빛,mOApmmW,movies,['드라마'],1995
nkPvrb8wrvgar,세일즈맨,m5nQ1k3,movies,"['드라마', '미스터리']",2016
nkPvrb8wrvgar,로렌스 애니웨이,mWL603d,movies,"['드라마', '로맨스']",2012
nkPvrb8wrvgar,꿈의 제인,mOPowgl,movies,['드라마'],2016
nkPvrb8wrvgar,이 투 마마,m2djDoW,movies,['드라마'],2001
nkPvrb8wrvgar,소년 소녀를 만나다,m5mx0jd,movies,"['드라마', '로맨스']",1984
nkPvrb8wrvgar,인랜드 엠파이어,mWz4J9d,movies,"['드라마', '미스터리', '스릴러']",2006
nkPvrb8wrvgar,쥴 앤 짐,mOgBl3W,movies,"['드라마', '로맨스']",1961
nkPvrb8wrvgar,원스 어폰 어 타임 인 아메리카,my5Yqj5,movies,"['범죄', '드라마']",1984
nkPvrb8wrvgar,초록물고기,mAd7856,movies,"['범죄', '드라마']",1997
nkPvrb8wrvgar,"조제, 호랑이 그리고 물고기들",mgOAwG5,movies,"['로맨스', '드라마']",2003
nkPvrb8wrvgar,샤인,m15GpNW,movies,"['드라마', '음악', '로맨스']",1996
nkPvrb8wrvgar,헤드윅,mJ5xGBd,movies,"['음악', '드라마', '코미디']",2001
nkPvrb8wrvgar,오아시스,mBOkgO1,movies,"['드라마', '로맨스']",2002
nkPvrb8wrvgar,최악의 하루,mOAZ89E,movies,"['드라마', '로맨스']",2016
nkPvrb8wrvgar,우리도 사랑일까,mdMBAR5,movies,"['코미디', '드라마']",2011
nkPvrb8wrvgar,"색, 계",m6dRLLW,movies,"['드라마', '역사', '로맨스', '스릴러', '전쟁']",2007
nkPvrb8wrvgar,타인의 삶,m2dj3a5,movies,"['스릴러', '드라마']",2006
nkPvrb8wrvgar,안개 속의 풍경,mqW9yMW,movies,['드라마'],1988
nkPvrb8wrvgar,컬러 아웃 오브 스페이스,m5nXQDk,movies,"['공포', '미스터리', 'SF']",2019
nkPvrb8wrvgar,마카담 스토리,mW4Le9e,movies,"['코미디', '드라마']",2015
nkPvrb8wrvgar,이민자,m5noakW,movies,"['드라마', '로맨스']",2013
nkPvrb8wrvgar,"4개월, 3주... 그리고 2일",mLOPoXW,movies,['드라마'],2007
nkPvrb8wrvgar,세상의 모든 계절,mn5NgpW,movies,['드라마'],2010
